Page,Section,Element,Current Copy,Source
Global,Site Metadata,Site title,Flow Health,Hardcoded
Global,Site Metadata,Meta description,Stable Energy for Deep Focus — Premium Swiss functional beverage,Hardcoded
Global,Announcement Bar,Header bar,Free shipping on orders over CHF 60 · 30-day satisfaction guarantee,Hardcoded
Global,Navigation,About dropdown label,About Flow,Hardcoded
Global,Navigation,About → link 1 label,Who We Are,Hardcoded
Global,Navigation,About → link 1 description,The team and story behind Flow Health.,Hardcoded
Global,Navigation,About → link 2 label,Our Philosophy,Hardcoded
Global,Navigation,About → link 2 description,The principles we refuse to compromise on.,Hardcoded
Global,Navigation,About → link 3 label,Our Product,Hardcoded
Global,Navigation,About → link 3 description,Inside the formula — every ingredient every dose.,Hardcoded
Global,Navigation,Mobile CTA,Get Flow,Hardcoded
Global,Footer,Column 1 label,About Flow,Hardcoded
Global,Footer,Column 2 label,Community,Hardcoded
Global,Footer,Column 3 label,Support,Hardcoded
Global,Footer,Newsletter label,Newsletter,Hardcoded
Global,Footer,Newsletter placeholder,Enter your email,Hardcoded
Global,Footer,Newsletter CTA,Subscribe,Hardcoded
Global,Footer,Newsletter note,Join our newsletter. Read about our Privacy policy.,Hardcoded
Global,Footer,Copyright,Copyright © 2026 Flow Health,Hardcoded
Homepage,Hero,CTA button,Shop Flow,Hardcoded
Homepage,Hero,Tagline,(from CMS),CMS
Homepage,Hero,Heading,(from CMS),CMS
Homepage,Mission Strip,Section label,our philosophy,Hardcoded
Homepage,Mission Strip,Body,For those whose mind never settles and who seeks inner peace.,Hardcoded
Homepage,Mission Strip,Link,Read more about our philosophy,Hardcoded
Homepage,Benefit Card 1,Heading,Empowered by stable energy,Hardcoded
Homepage,Benefit Card 1,Body,Flow gently restores harmony – delivering steady calm energy that keeps distractions fatigue and overwhelm at bay.,Hardcoded
Homepage,Benefit Card 2,Heading,Unlock your full potential,Hardcoded
Homepage,Benefit Card 2,Body,Flow's ingredients help you tap into deep focus effortless creativity and crystal-clear thinking – so you can perform at your peak every day.,Hardcoded
Homepage,Benefit Card 3,Heading,Your daily inner peace ritual,Hardcoded
Homepage,Benefit Card 3,Body,Begin each day with purpose and power. Flow sets the stage for a productive fulfilling day.,Hardcoded
Homepage,Featured Product,Benefit copy,Promotes homeostasis fights over-stimulation and supports peak cognitive performance — naturally.,Hardcoded
Homepage,Featured Product,Button 1,Learn More,Hardcoded
Homepage,Featured Product,Button 2,Shop Now,Hardcoded
Homepage,Health Benefits,Section label,(from CMS — default: Health Benefits),CMS
Homepage,Health Benefits,Heading,(from CMS — default: Everything your body needs. Nothing it doesn't.),CMS
Homepage,Results Timeline,Section label,Timeline,Hardcoded
Homepage,Results Timeline,Heading,(from CMS),CMS
Homepage,Results Timeline,Subheading,(from CMS),CMS
Homepage,Venn Diagram,Section label,The formula,Hardcoded
Homepage,Venn Diagram,Heading,(from CMS),CMS
Homepage,Venn Diagram,Link,Read more about our product,Hardcoded
Homepage,Venn Diagram,Circle 1,A pleasant taste,Hardcoded
Homepage,Venn Diagram,Circle 2,Convenient daily packet,Hardcoded
Homepage,Venn Diagram,Circle 3,One sachet 13 ingredients,Hardcoded
Homepage,Key Ingredients,Section label,(from CMS — default: our ingredients),CMS
Homepage,Key Ingredients,Heading,(from CMS),CMS
Homepage,Key Ingredients,Link,See all 13 ingredients,Hardcoded
Homepage,Comparison Table,Section label,Why Flow,Hardcoded
Homepage,Comparison Table,Heading,How Flow compares,Hardcoded
Homepage,Comparison Table,Row 1 — Flow,Clinically-studied formula with 8 active ingredients at full doses,Hardcoded
Homepage,Comparison Table,Row 1 — Others,Underdosed or proprietary blends,Hardcoded
Homepage,Comparison Table,Row 2 — Flow,One formula replaces 4–6 separate supplements,Hardcoded
Homepage,Comparison Table,Row 2 — Others,Multiple products required,Hardcoded
Homepage,Comparison Table,Row 3 — Flow,Ready-to-drink — no pills no mixing no measuring,Hardcoded
